filename,objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
bisset-farm-1933.jpeg,group_001,Bisset Farm,Franklin Carmichael ,1933,An oil painting about the pastoral landscape,landscape;pastoral;farm,"Delta, BC, Canada",49.084721,-123.058609,Vancouver Art Gallery,,Image;StillImage,image/jpeg,eng,public domain,,image,/objects/Franklin_H_Carmichael.jpg,/objects/small/franklin_h_carmichael_sm.jpg,/objects/thumbs/franklin_h_carmichael_th.jpg,An oil landscape painting of a farm in a snowy winter valley surrounded by rolling green and blue hills.,
Tom_Thomson_-_Early_Spring_-_Google_Art_Project.jpg,group_002,Early Spring,Tom Thomson,1917,An oil on wood panel sketch,winter;landscape,"Algonquin Provincial Park, Ontario, Canada",43.6536,-78.3583,Art Gallery of Ontario,,Image;StillImage,image/jpeg,eng,public domain,,image,/objects/Tom_Thomson_-_Early_Spring_-_Google_Art_Project.jpg,/objects/small/tom_thomson_-_early_spring_-_google_art_project_sm.jpg,/objects/thumbs/tom_thomson_-_early_spring_-_google_art_project_th.jpg,"An oil landscape painting of a melting winter wilderness in Algonquin Park, featuring patches of snow and dark rolling hills under a bright blue sky filled with textured clouds.",
Tom_Thomson_Autumn_Foliage.jpg,group_003,Autumn Foliage,Tom Thomson,1915,An oil on wood panel sketch,autumn;landscape,"Algonquin Provincial Park, Ontario, Canada",43.6536,-78.3583,Art Gallery of Ontario,,Image;StillImage,image/jpeg,eng,public domain,,image,/objects/Tom_Thomson_Autumn_Foliage.jpg,/objects/small/tom_thomson_autumn_foliage_sm.jpg,/objects/thumbs/tom_thomson_autumn_foliage_th.jpg,"An impressionistic landscape painting showcases an explosion of fiery red, brilliant orange, and golden-yellow leaves carpeting the forest floor and draping the trees, juxtaposed against a serene, deep blue lake in the background.",
"Tom_Thomson_The_Birch_Grove,_Autumn.jpg",group_004,Birch Grove Autumn,Tom Thomson,1915,An oil painting about an mining town,autumn;landscape;trees,"Birch Grove, Nova Scotia",46.1218,-59.9527,Art Gallery of Hamilton,,Image;StillImage,image/jpeg,eng,public domain,,image,"/objects/Tom_Thomson_The_Birch_Grove,_Autumn.jpg","/objects/small/tom_thomson_the_birch_grove,_autumn_sm.jpg","/objects/thumbs/tom_thomson_the_birch_grove,_autumn_th.jpg","An impressionistic landscape painting captures a dense grove of slender white birch trees covered in glowing golden-yellow leaves, standing against a deep blue sky and a forest floor dappled with autumn sunlight.",
a-northern-silver-mine-1930.jpg!Large.jpeg,group_005,A Northern Silver Mine,Franklin Carmichael ,1930,An oil painting about the autumn forest,mountain;town;landscape,"Cobalt, Ontario, Canada",47.3962,-79.6857,McMichael Canadian Art Collection,,Image;StillImage,image/jpeg,eng,public domain,,image,/objects/a-northern-silver-mine-1930.jpg!Large.jpeg,/objects/small/a-northern-silver-mine-1930.jpg!large_sm.jpg,/objects/thumbs/a-northern-silver-mine-1930.jpg!large_th.jpg,"An expressive landscape painting portrays a cluster of reddish-brown industrial mine buildings nestled amidst rolling green hills and smooth, stylized rock formations under a swirling white sky.",
houses-cobalt-1932.jpeg,group_006,"Houses, Cobalt",Franklin Carmichael ,1932,"A linocut print about a mining town in Northern Ontario, specifically Cobalt, showing houses nestled on a snow-covered hill.",mountain;house;landscape,"Cobalt, Ontario, Canada",47.3962,-79.6857,McMichael Canadian Art Collection,,Image;StillImage,image/jpeg,eng,public domain,,image,/objects/houses-cobalt-1932.jpeg,/objects/small/houses-cobalt-1932_sm.jpg,/objects/thumbs/houses-cobalt-1932_th.jpg,,
,group_007,Steve Martin on “The Idea of North: The Paintings of Lawren Harris”,Steve Martin,2025,"Hear guest curator Steve Martin’s take on “The Idea of North: The Paintings of Lawren Harris,” on view in the Art of the Americas Wing through June 12, 2016.",exhibition;interview;usa,"Boston, MA, USA",42.3394,-71.0943,"Museum of Fine Arts, Boston",,Video,video/mp4,eng,,,video,https://youtu.be/E4rmB1_56EI?si=G9fOi1MONPzXd6Oo,https://img.youtube.com/vi/E4rmB1_56EI?si=G9fOi1MONPzXd6Oo/hqdefault.jpg,https://img.youtube.com/vi/E4rmB1_56EI?si=G9fOi1MONPzXd6Oo/mqdefault.jpg,,
mount-lefroy-1930.jpeg,group_008,Mount Lefroy,Lawren Harris,1930,"An oil painting about the majestic, snow-capped peak of Mount Lefroy",mountai;winter;snow,"Mount Lefroy, Alberta / British Columbia, Canada.",51.362222,-116.279722,McMichael Canadian Art Collection,,Image;StillImage,image/jpeg,eng,public domain,,image,/objects/mount-lefroy-1930.jpeg,/objects/small/mount-lefroy-1930_sm.jpg,/objects/thumbs/mount-lefroy-1930_th.jpg,,
mountaisn-and-lake-1929.jpeg,group_009,Mountaisn and Lake,Lawren Harris,1929,An oil painting about the mountain and lake,,"Mount Richardson, Alberta, Canada",51.4958333,-116.1225,McMichael Canadian Art Collection,,Image;StillImage,image/jpeg,eng,public domain,,image,/objects/mountaisn-and-lake-1929.jpeg,/objects/small/mountaisn-and-lake-1929_sm.jpg,/objects/thumbs/mountaisn-and-lake-1929_th.jpg,,
pic-island-lake-superior-1924.jpeg,group_010,"Pic Island, Lake Superior",Lawren Harris,1924,An oil painting about the mountain and lake,mountain;lake;landscape,"Pic Island, Lake Superior, Ontario, Canada",48.7168,-86.6166,Art Gallery of Ontario,,Image;StillImage,image/jpeg,eng,public domain,,image,/objects/pic-island-lake-superior-1924.jpeg,/objects/small/pic-island-lake-superior-1924_sm.jpg,/objects/thumbs/pic-island-lake-superior-1924_th.jpg,,
pine-tree-and-red-house-winter-city-1924.jpeg,group_011,"Pine Tree and Red House, Winter City,",Lawren Harris,1924,An oil painting about snow on trees,trees;snow;landsc,"Barrie, Ontario, Canada",44.389355,-79.690331,Private,,Image;StillImage,image/jpeg,eng,public domain,,image,/objects/pine-tree-and-red-house-winter-city-1924.jpeg,/objects/small/pine-tree-and-red-house-winter-city-1924_sm.jpg,/objects/thumbs/pine-tree-and-red-house-winter-city-1924_th.jpg,,